Speed (m/s) Rounded,count,10km count,42km count,21km count,male count,female count,time,10km time,42km time,21km time,male time,female time
3.4,651,284.0,85.0,282.0,494,157.0,5577.012288786483,2942.3732394366198,12383.541176470588,6178.723404255319,5925.566801619433,4480.286624203822
3.5,536,221.0,55.0,260.0,443,93.0,5319.589552238806,2856.7239819004526,12004.309090909092,5998.95,5561.968397291196,4165.032258064516
3.6,436,212.0,46.0,178.0,374,62.0,4963.894495412844,2776.943396226415,11662.108695652174,5837.578651685393,5116.187165775401,4045.2258064516127
3.7,358,177.0,24.0,157.0,297,61.0,4585.1843575419,2701.276836158192,11326.416666666666,5678.573248407643,4763.585858585859,3716.5737704918033
3.8,278,145.0,19.0,114.0,251,27.0,4393.190647482014,2629.9517241379313,11059.21052631579,5524.903508771929,4455.346613545817,3815.3703703703704
3.9,247,130.0,20.0,97.0,214,33.0,4331.825910931174,2562.246153846154,10738.55,5382.453608247422,4513.2336448598135,3155.4242424242425
4.0,184,113.0,12.0,59.0,160,24.0,3904.0815217391305,2501.9469026548672,10442.916666666666,5259.593220338983,3912.4875,3848.0416666666665
4.1,152,88.0,10.0,54.0,135,17.0,3906.6447368421054,2440.1704545454545,10270.9,5117.888888888889,3893.1925925925925,4013.470588235294
4.2,110,72.0,6.0,32.0,101,9.0,3560.7909090909093,2380.9305555555557,9986.333333333334,5010.6875,3639.6138613861385,2676.222222222222
4.3,84,55.0,6.0,23.0,80,4.0,3561.9523809523807,2327.927272727273,9774.5,4892.217391304348,3531.05,4180.0
4.4,65,41.0,1.0,23.0,63,2.0,3266.5384615384614,2270.7073170731705,9654.0,4764.0,3298.2380952380954,2268.0
4.5,45,33.0,1.0,11.0,44,1.0,2982.133333333333,2224.090909090909,9399.0,4672.909090909091,2944.8636363636365,4622.0
4.6,34,25.0,0.0,9.0,33,1.0,2809.029411764706,2173.64,8924.0,4574.0,2755.151515151515,4587.0
4.7,17,12.0,1.0,4.0,17,0.0,3085.823529411765,2130.4166666666665,8924.0,4492.5,3085.823529411765,2058.5
4.8,17,15.0,0.0,2.0,17,0.0,2360.705882352941,2088.4,8444.0,4403.0,2360.705882352941,2058.5
4.9,13,10.0,0.0,3.0,11,2.0,2566.153846153846,2049.7,8444.0,4287.666666666667,2658.4545454545455,2058.5
5.0,9,8.0,1.0,0.0,9,0.0,2722.1111111111113,2006.875,8444.0,4125.5,2722.1111111111113,2058.5
5.1,10,5.0,1.0,4.0,10,0.0,3449.2,1952.8,8226.0,4125.5,3449.2,2058.5
5.2,4,4.0,0.0,0.0,4,0.0,1921.0,1921.0,8226.0,4125.5,1921.0,2058.5
5.3,5,5.0,0.0,0.0,5,0.0,1888.4,1888.4,8226.0,4125.5,1888.4,2058.5
5.4,3,3.0,0.0,0.0,3,0.0,1852.0,1852.0,8226.0,4125.5,1852.0,2058.5
5.6,6,6.0,0.0,0.0,6,0.0,1781.8333333333333,1781.8333333333333,8226.0,4125.5,1781.8333333333333,2058.5
5.7,2,2.0,0.0,0.0,2,0.0,1760.5,1760.5,8226.0,4125.5,1760.5,2058.5
5.9,1,1.0,0.0,0.0,1,0.0,1698.0,1698.0,8226.0,4125.5,1698.0,2058.5
