acode,catRank,categoryName,entryArt,entryPayart,eventDate,eventName,eventRaceNr,overCategoryName,overRank,provider,raceNr,racePayload,resultState,runtime,startNumber
2M4F6MF5,2,Mountainman FULL Männer M60,Bezahlt,Online,21.08.2010,"Mountainman, Titlis-Hasliberg-Pilatus",FA295A27388DCD8A774BCFF2E3E2EECD,Mountainman Männer Overall,65,Datasport,12617,25F374C67AD3A42F5EAD685D8683B9CCEDA647507E46D1321B66F636DFD99FC2,Klassiert,"12:46.18,1",196
2M4F6MF5,4,Männer M60,Bezahlt,Post/Bank,10.07.2010,"Zermatt Marathon, Zermatt",D2D3971CDFBADA6FFAF2389EA6B14EA3,Overall Männer,273,Datasport,12196,B238477E3AA79C5C73712527735A59CC72865D66BD4AD081080A463C15657103,Klassiert,"5:05.09,6",435
2M4F6MF5,3,Marathon Männer M60,Bezahlt,Post/Bank,12.06.2010,"LGT Alpin-Marathon, Liechtenstein",00162C5A2098BA3E3DBA406C83C70080,Overall Marathon Männer,197,Datasport,12181,8E31C8E9DF476526F5FB5B05B310416A475A9331A6188B334770B4B5418DA86A,Klassiert,"4:36.52,8",346
2M4F6MF5,2,Herren 60+,Bezahlt,Post/Bank,30.05.2010,"Blüemlisalp-Lauf, Reichenbach",D146095A831B7A2E32EA755358350ABE,Overall 10 Meilen Herren,96,Datasport,12409,0E53F47449468AFB193C8AA1A42B75341DD705B331C00B67578FE00BA33B477B,Klassiert,"1:33.41,4",175
2M4F6MF5,,M60 (14.),,,20.05.2010,"GP-Bern 10 Meilen, Bern",C067EBDE6054C5331FF6D4D5550855E8,,,Athlet,0,2014C489A3EC9E78380DFE0DB038F80F709FD64FDCF9153960CEE14E344DA968,,"1:13.03,0",
2M4F6MF5,15,(M60) 15 km Männer 60-64 Jahre,Bezahlt,ESR,20.03.2010,Kerzerslauf,9A6303E3F9AA14F14713E304DBE0D256,15 km Overall,937,Datasport,12101,93C35B014CEBBD082F7F20FBA4FD300F3EECC465D1BABA216A40379EFB5BF4D9,Klassiert,"1:07.10,8",3159
2M4F6MF5,2,Long Snow Distance Running M60,Bezahlt,Post/Bank,06.03.2010,"Swiss Snow Walking Event / Snow Run, Eng",D84C7276D90FC05CA29654FA1BF8BC0D,Overall Running Long Männer,96,Datasport,12283,C03F6C5F59A04768E01D7956445E1F38A3462E11F4640BDF8ED5E282035A5239,Klassiert,"1:11.41,6",5045
2M4F6MF5,3,Marathon Männer M60,Bezahlt,Online,25.10.2009,"Lucerne Marathon, Luzern",36E761677B6AEA3745537B5589EE1F88,Marathon Männer,471,Datasport,11248,462A032E9F650FBE49AE0237C717097430E68F92CFD6B7D54638861BC1FBB547,Klassiert,"3:27.21,4",2340
2M4F6MF5,2,35km Männer 60,Bezahlt,Online,11.10.2009,"Brienzerseelauf, Bönigen",4326997FEADED9164FA94AC73F98FB5D,Overall Männer Rund um den Brienzersee,51,Datasport,11155,CD352533D7B660D37FCE6F1BDAB726A68A74136724F81FF6AE0D01CBC7AEE32D,Klassiert,"2:48.18,9",72
2M4F6MF5,8,Männer 60,Bezahlt,ESR,05.09.2009,"Jungfrau-Marathon, Interlaken",906EF145E58D731DEB01B97D911AB678,Overall Männer,895,Datasport,11106,ECF919E618B080A6123261E196225A4A85D51B10D3CB449BFA654845854181FA,Klassiert,"4:43.15,7",628
2M4F6MF5,2,Männer 60+,Bezahlt,Post/Bank,28.06.2009,"Aletsch-Halbmarathon, Bettmeralp",E9C74547B8AF01669AE750BBB0656071,Overall Männer,278,Datasport,11933,038E22E03758A0711E6D2AB632770F37BC7DB912698720642A56AECB2E924B97,Klassiert,"2:25.00,9",354
