acode,catRank,categoryName,entryArt,entryPayart,eventDate,eventName,eventRaceNr,overCategoryName,overRank,provider,raceNr,racePayload,resultState,runtime,startNumber
GG97SGYB,9,Männer 55+,Bezahlt,,29.06.2008,"Aletsch-Halbmarathon, Bettmeralp",E03FA88F2ECAB6587950728A9E4CBCB6,Overall Männer,279,Datasport,10933.0,E96DC8E77FEBE3324306B29010D43C9890F28D994F08650F891B58194AEC40FF,Klassiert,"2:24.27,5",563
GG97SGYB,5,21 km Herren H 3,Bezahlt,,15.06.2008,"La Cuorsa dil Rein, Disentis",494A943E63F0F5805726E87AFE72A509,Overall Herren 21 km,29,Datasport,10479.0,63074235F057BFE67DEB7AE4FB5053FEBF239DB53C271291C4FA61CC55FC1F55,Klassiert,"1:50.40,0",192
GG97SGYB,76,(M55) 15 km Männer 55-59 Jahre,Bezahlt,,15.03.2008,Kerzerslauf,EB6980D50408FB8E86053D4231167B12,Overall 15 km,1732,Datasport,10101.0,E74EB2745D22DE6EEB5317AA88EB6049FE445F9B218163DFE8CB9859B5CEEE31,Klassiert,"1:11.46,1",5063
GG97SGYB,98,Herren Hauptklasse A,Bezahlt,,09.03.2008,"Engadin Skimarathon, Maloja/S-Chanf",8CF79D2350D78F9E70D97510BE725700,Marathon Männer,1554,Datasport,10705.0,EBD277149207150172D1838E072F4372CEAE828381204AC8AF6079EA0B5DB121,Klassiert,"2:08.50,4",30736
GG97SGYB,81,Männer 50 30km,Bezahlt,,23.02.2008,"Gommerlauf, Blitzingen-Oberwald",A1DAE953C74EADA6210558F1364FA51A,Overall Männer 30km,409,Datasport,10704.0,BCC1395FCC00DA8EDF62F476FCFD8F6553D9AB1F7644EBFD3BB53316498A2DB7,Klassiert,"1:28.27,8",862
GG97SGYB,62,Hommes M55,Bezahlt,,06.10.2007,Morat-Fribourg,858A8BBEE163C113B79FD87F3250AC44,Overall Hommes,1550,Datasport,9109.0,CCF4E5E3D302FE68E990E91A8CAECF3385F28A75CD80D7D3C6288A9018ECD0CF,Klassiert,"1:23.02,7",2838
GG97SGYB,46,Männer 55,Bezahlt,,08.09.2007,"Jungfrau-Marathon, Interlaken",4384242ADA7E78030DE33951FD754DD9,Männer,1056,Datasport,9106.0,A609CFC2A7B08478EFE38823067B5D8085975D442C59B65D4457CE0BCF34D132,Klassiert,"4:47.38,1",1656
GG97SGYB,12,Männer M55,Bezahlt,,18.08.2007,"Internationaler Matterhornlauf, Zermatt",444E529690150D05E134F4BA06121E53,Overall Männer,188,Datasport,9195.0,8601860FEC90BD93B63277E0835AFA972D43E0AB547B9CD9306A7798A52370CC,Klassiert,"1:26.42,0",660
GG97SGYB,9,Männer M55,Bezahlt,,07.07.2007,"Zermatt Marathon, Zermatt",B0CB4E57F0DA3998199265162DAD2477,Overall Männer,248,Datasport,9196.0,8F8ED1F46D3D280300F753C11BFA4A95483B9624449897AC28B55B7D9F4AD4E0,Klassiert,"4:49.28,7",93
GG97SGYB,13,Männer 55+,Bezahlt,,24.06.2007,"Aletsch-Halbmarathon, Bettmeralp",FEF10941AF22FC282474CB1E27724F53,Overall Männer,350,Datasport,9933.0,82E7C4D367090D5C28316A736774DAC8C59DC0E56EC40276B1934ED6E861F576,Klassiert,"2:29.05,6",469
GG97SGYB,101,(M55) 15 km Männer 55-59 Jahre,Bezahlt,,17.03.2007,Kerzerslauf,C74517423EC5D2795DAA2CF793B339AD,Overall 15 km,2062,Datasport,9101.0,A2979CF3BA808959F1A87CE07645C1054E38420613C3C6589DFEF535C36550C4,Klassiert,"1:13.19,4",5097
GG97SGYB,45,Herren Volksläufer,Bezahlt,,11.03.2007,"Engadin Skimarathon, Maloja/S-Chanf",221CEA44BF33E662BBCC5A202DDFED74,Marathon Männer,2777,Datasport,9705.0,71F3894ACFC5A9343BEEE7B27DD2EC3E165F6FBB3DD020B9163EE042BEFAAA41,Klassiert,"2:46.05,5",52023
GG97SGYB,81,Männer 50,Bezahlt,,25.02.2007,"Gommerlauf, Blitzingen-Oberwald",A6AF5AE5265CF4A07511E263CCD1EB31,Overall Männer,411,Datasport,9704.0,371A2BB3A9BF42C9A5883C555DF8D2004C688991AFA8E821FF2931F80D35554D,Klassiert,"1:35.33,9",635
GG97SGYB,82,Hommes M55,Bezahlt,,30.09.2006,Morat-Fribourg,DA7DE7FC1029630A79D2DC53127C7F13,Overall Hommes,2086,Datasport,8109.0,5B2FD4BB453DD0F32F7786E7F25F50F28A09348A6F4550D68F82E8004952A3B1,Klassiert,"1:25.41,8",2898
GG97SGYB,45,Männer 55,Bezahlt,,09.09.2006,"Jungfrau-Marathon, Interlaken",9490A14DB9E00F462BDCE772B492659F,Männer,1044,Datasport,8106.0,4FE16CD00732C039127FE6D6B279C36DF8D01A45C6B7FB6A0395EC8AC298A728,Klassiert,"4:53.19,5",1691
GG97SGYB,45,Männer 50-59 Jahre,Bezahlt,,19.08.2006,"Internationaler Matterhornlauf, Zermatt",133C6736BE3BD9DEED944B3ABEB8EC15,Overall Männer,234,Datasport,8195.0,BD9417E80E3DEB727AE4D7BD46E5900BE5616CD1E1B6B957E18BE15789DA7069,Klassiert,"1:29.17,6",252
GG97SGYB,8,Männer M55,Bezahlt,,08.07.2006,"Zermatt Marathon, Zermatt",65ED6729EE00A734F981EF619191D4FC,Overall Männer,256,Datasport,8196.0,FD2B17A992F85B5E296D5264FBE5C71C1EB26B62BA2431F0F3D4C51315B9A532,Klassiert,"5:09.46,0",80
GG97SGYB,12,Männer 55+,Bezahlt,,25.06.2006,"Aletsch-Halbmarathon, Bettmeralp",4548BCD1EEF33EFC617FB6BA8D34D956,Overall Männer,335,Datasport,8933.0,3243A85E91E5C94B1334094AFFCB7DC75099DD4C91F56F573FFAFAC9AF213910,Klassiert,"2:26.57,5",320
GG97SGYB,149,Männer M55,Bezahlt,,13.05.2006,Grand Prix von Bern,459AEFF21AB71B80741BAEBD0119C286,Männer Grand Prix von Bern,3942,Datasport,8104.0,AD2E052C5E6DAE4811A9CE82367E1809930D23801E38F425A553B7F3A5F1171B,Klassiert,"1:18.04,7",5311
GG97SGYB,67,(M55) 15 km Männer 55-59 Jahre,Bezahlt,,18.03.2006,Kerzerslauf,0B10C2599257D7E3207DC029E81B974C,Overall 15 km,1534,Datasport,8101.0,FE3C23082687B8EDF9528ACBECC4EEA5A3497288285D753CAD0CD084850773EE,Klassiert,"1:11.53,8",6337
GG97SGYB,70,Männer 50,Bezahlt,,26.02.2006,"Gommerlauf, Blitzingen-Oberwald",A7F867DB9D90C9C30C562801341D6333,Overall Männer,367,Datasport,8704.0,62C052485D906C5B9D86B49D5FD8622997EA8A088E866A067599E2B2C37DD8F7,Klassiert,"1:36.36,2",715
GG97SGYB,122,Marathon Hommes IV,Bezahlt,,23.10.2005,Lausanne Marathon,CBCD550858516C4A4A9F55192DE4A53B,Marathon Hommes,870,Datasport,7110.0,68A8282F348CB3C225EB685A738F6DE5A011DEFD07CCE4A17ED98E749D8BD804,Klassiert,"3:50.20,7",972
GG97SGYB,15,Run Herren IV,Bezahlt,,11.09.2005,Sommer-Gommerlauf,9F2A86A875FBEADA2330A2F197F8F7C3,Lauf Overall,67,Datasport,7146.0,02987989993761065F566852B081BF7EC8082A41B17E3622594028AD1AF20AC0,Klassiert,"1:27.59,4",432
GG97SGYB,9,Männer M55,Bezahlt,,02.07.2005,"Zermatt Marathon, Zermatt",CDCAD4C4EAD9BCE92A4078A70E670048,Overall Männer,184,Datasport,7196.0,DFA9D0CE4DB9646E6DFAF23846F5E8A5FF7517B491BAB16035D0E8CA126A4740,Klassiert,"4:46.31,1",668
GG97SGYB,10,Marathon Männer 50,Bezahlt,,25.06.2005,"Graubünden Marathon/Walking, Lenzerheide",E6E48AF528A3C1F12C163CBA0B819E1E,Overall Marathon Männer,146,Datasport,7918.0,965DC7A82288CEB3F5DDA3AB9B82B56FA7DB9E303573BFBC703E9127CC20363E,Klassiert,"5:36.56,2",376
GG97SGYB,109,Männer M55,Bezahlt,,21.05.2005,Grand Prix von Bern,25EED5F451DCDD3C4308748AF04D51E2,Männer Grand Prix von Bern,3273,Datasport,7104.0,1D169D01A47EB1C0C58F450391E9F50D4CA09AFFBC71B6F2B9AEF3B654431895,Klassiert,"1:17.01,0",5296
GG97SGYB,97,(M55) 15 km Männer 55-59 Jahre,Bezahlt,,19.03.2005,Kerzerslauf,AC73DA79FB13CFEB5DD998A6E525186A,Overall 15 km,1870,Datasport,7101.0,7F100BCA6ECFB17653875785E9ECF3DEC627A515E9CC648852FC1598A2749DF4,Klassiert,"1:16.17,8",4356
GG97SGYB,66,Männer 50,Bezahlt,,06.03.2005,"Gommerlauf, Blitzingen-Oberwald",0E40A2B6E3A2C27BA6C80EE3AF46AAE5,Overall Männer,396,Datasport,7704.0,3FAEB362E05FFD270D55C64D7130401A46CD18642501D70768002C1BBEEFEB1E,Klassiert,"1:37.09,2",827
GG97SGYB,32,Marathon Hommes IV,Bezahlt,,24.10.2004,Lausanne Marathon,A580CDEA9D9BDBCE170E56AABA0E3836,Marathon Hommes,433,Datasport,6110.0,A6CB497B4D5EF9DEC9BC89383DA745D58F1A7F430885CCC7FE187E17A70FFE4B,Klassiert,"3:33.07,2",959
GG97SGYB,57,Männer 50,Bezahlt,,11.09.2004,"Jungfrau-Marathon, Interlaken",FA042ABB23540A216E7F02B5FCE5C9F1,Männer,737,Datasport,6106.0,78172F1C6EB95C7210320CA16D2AB66ECFA602B54DDFE8FE77FE0EEF88EEF4C0,Klassiert,"4:40.07,6",2072
GG97SGYB,28,Männer 50-59 Jahre,Bezahlt,,22.08.2004,"Internationaler Matterhornlauf, Zermatt",852FFE6ACA5410F796203C776CDBC989,Overall Männer,235,Datasport,6195.0,61CE7CFD19C5615C1F5FED031B949643CD6ACD03E400BFA083D6382C53DA1BE7,Klassiert,"1:40.27,6",626
GG97SGYB,10,Marathon Männer 50,Bezahlt,,26.06.2004,"Graubünden Marathon/Walking, Lenzerheide",579AAEDF1BC14508BF08D6864BD65BD1,Overall Marathon Männer,134,Datasport,6918.0,F5AE6FC7A7D9AA2604677AC681D03906E7D4A39E464379804CA9414ECB2D98A6,Klassiert,"5:17.05,9",144
