acode,catRank,categoryName,entryArt,entryPayart,eventDate,eventName,eventRaceNr,overCategoryName,overRank,provider,raceNr,racePayload,resultState,runtime,startNumber
KRP3LRMG,17,Männer 40,Bezahlt,,15.10.2006,"Brienzerseelauf, Bönigen",7BAACB2DF65AEB35458CC8D83E164D5C,Overall Männer 35km,42,Datasport,8155,CA8D52FF2437FD89E32F0A5596A8C77F9CAED20656FE0AF56F2AE3CB1B5C9CF0,Klassiert,"2:32.19,1",17
KRP3LRMG,30,Inferno Team Trophy - Open,Bezahlt,,18.08.2006,"Inferno Triathlon, Mürren",10F021157AED5C7F54A4FB28642AF3D3,,,Datasport,8532,E515603A7B40B9BDBD4796C09548FA4578EDABE5814804C9F08AB73DB7FA1E40,Klassiert,"7:57.00,1",511
KRP3LRMG,9,Männer 40+,Bezahlt,,25.06.2006,"Aletsch-Halbmarathon, Bettmeralp",4D709076EBA0D390DBF1E079304D4334,Overall Männer,41,Datasport,8933,1D70B6A5BF22934FB2FFD69C3452A2F34C2F0E9EA87DD0947E8730F0D2A170A7,Klassiert,"1:57.56,9",141
KRP3LRMG,91,Männer M40,Bezahlt,,13.05.2006,Grand Prix von Bern,700B25DAA9DE041A1332A1B4659522F9,Männer Grand Prix von Bern,558,Datasport,8104,48AB3704094B04542CF705536ECDB6CE0223FC925728CCECC9C10083BD4BFC5F,Klassiert,"1:04.46,0",1484
KRP3LRMG,35,(M40) 15 km Männer 40-44 Jahre,Bezahlt,,18.03.2006,Kerzerslauf,045AE2A8CAEBFA87E27C0572E3B85C02,Overall 15 km,214,Datasport,8101,5DE7F53D54FA2F1982477AEF9FE029E51CD9919085A8B3478AB7F292C0E50020,Klassiert,"58.27,2",1180
KRP3LRMG,178,Männer 20,Bezahlt,,10.09.2005,"Jungfrau-Marathon, Interlaken",C68A29F172E342E330745A1A0F5D3A9E,Männer,365,Datasport,7106,06DE4605BBCA88586B181ACB101E8E2E6A9BD350583F932AB8DEE9B8E0396DB4,Klassiert,"4:18.43,0",1142
KRP3LRMG,36,Inferno Team Trophy - Open,Bezahlt,,19.08.2005,"Inferno Triathlon, Mürren",D18B784899114F9A35BD73EDAA62A14C,,,Datasport,7532,161603B1EB9FBB0EC01E5EFC1119797EDFC6D6302DFD0D3CCA76070DE1D582FD,Klassiert,"7:54.53,2",722
KRP3LRMG,294,Männer M30,Bezahlt,,21.05.2005,Grand Prix von Bern,E883DACD71973B5502C75A4F1F1BC59B,Männer Grand Prix von Bern,717,Datasport,7104,1D3241047606FBE94EB45566275C431C806D0A7017749B4AB75850EB5DA9FF66,Klassiert,"1:06.30,0",1904
KRP3LRMG,38,(M35) 15 km Männer 35-39 Jahre,Bezahlt,,19.03.2005,Kerzerslauf,84EC3ED31EAF92C52DF4782F3DFA3A23,Overall 15 km,234,Datasport,7101,18913B5B78472D76F623252FA43A7DBA8DFF5359ED311BD8877CFC034CE9E0E0,Klassiert,"59.24,5",1085
KRP3LRMG,18,Männer 20 HM,Bezahlt,,10.10.2004,"Brienzerseelauf, Bönigen",7DA75AE2B915725C3632BF2CBE6799C0,Overall Männer 21km,26,Datasport,6155,2133EBAF7911C5DC96B7B2CA550D397D4573E914B832F96956A69FB27464A932,Klassiert,"1:23.53,9",648
KRP3LRMG,305,Männer 20,Bezahlt,,11.09.2004,"Jungfrau-Marathon, Interlaken",7F0298915BA9B803074C9744B9DB32F4,Männer,642,Datasport,6106,56C77E99CA0E88B4EF494DA4412DBF0ED319F61FE1E3629CB8A3676CA72022BD,Klassiert,"4:35.42,6",1209
KRP3LRMG,,Inferno Team Trophy - Open,Bezahlt,,21.08.2004,"Inferno Triathlon, Mürren",0D5874266E6BD5B0D06B0BA5E2BD4526,,,Datasport,6532,FCE35C0FD64B4D91220408B3B9AD70864799CD1F399E3B08B5921CE26D36E5AF,Nicht Klassiert,,692
KRP3LRMG,127,Männer M35,Bezahlt,,08.05.2004,Grand Prix von Bern,AC56081C40BDE3024D17DD57D54F4012,Männer Grand Prix von Bern,597,Datasport,6104,159E3186B0CEF2CFDEE8CD187A87EA4E75B718007302096CFD1238C5C1858C0B,Klassiert,"1:03.39,1",2414
KRP3LRMG,44,(M35) 15 km Männer 35-39 Jahre,Bezahlt,,20.03.2004,Kerzerslauf,D68E3D9DCE9E5C7D771135CC562EF447,Overall 15 km,227,Datasport,6101,F2416B4C8BC4CD1EC45642E24005045B269AC19EDB3D99FFD2C916A2C2D9F6DF,Klassiert,"57.51,8",1285
